order_id,shipment_uid,awb,carrier,lane_class,lane,distance_km,customer_city,payment_mode,package_amount,current_status,order_date,pickup_date,edd,delivery_date,attempt_number,ndr_reason,ndr_category,edd_met,is_rto,outcome_label
110414895470,68246D6F27,AWB7492471825,Carrier C,National,Barmer <- Mumbai,793.9,Barmer,COD,689,Delivered,2026-02-09,2026-02-10,2026-02-14,2026-02-12,1,Not Applicable,,True,False,Delivered On-Time
110714934431,20B9D03A26,AWB9626344509,Carrier D,National,Ghaziabad <- Mumbai,1268.0,Ghaziabad,Prepaid,1383,Delivered,2026-02-02,2026-02-03,2026-02-05,2026-02-03,1,Not Applicable,,True,False,Delivered On-Time
111014969990,346C9366DE,AWB8342816412,Carrier C,Metro,Chennai <- Mumbai,1138.6,Chennai,COD,669,Delivered,2026-02-09,2026-02-10,2026-02-12,2026-02-12,1,Not Applicable,,True,False,Delivered On-Time
111014966601,FD5EF2061C,AWB8841055541,Carrier D,National,Meerut <- Mumbai,1353.4,Meerut,COD,1382,RTO,2026-02-20,2026-02-22,2026-02-25,,3,Landmark missing,Address Issue,False,True,RTO
111114974114,01DFEB61E6,AWB4405676373,Carrier C,Metro,Hyderabad <- Mumbai,805.6,Hyderabad,COD,887,Delivered,2026-01-24,2026-01-25,2026-01-30,2026-01-28,1,Not Applicable,,True,False,Delivered On-Time
110614920048,9AF975D1F8,AWB1917810111,Carrier A,National,Surat <- Mumbai,601.3,Surat,COD,504,Delivered,2026-01-18,2026-01-19,2026-01-21,2026-01-21,1,Not Applicable,,True,False,Delivered On-Time
111114976780,50EA0002E6,AWB1236689318,Carrier A,Metro,Bangalore <- Mumbai,890.0,Bangalore,Prepaid,632,Delivered,2026-01-16,2026-01-17,2026-01-22,2026-01-20,2,Delivery postponed by customer,Customer Availability,True,False,Delivered On-Time
110914960400,E92BF5D1F9,AWB0333247497,Carrier C,Metro,Gautam Buddha Nagar <- Mumbai,1329.2,Gautam Buddha Nagar,Prepaid,1433,Delivered,2026-02-01,2026-02-03,2026-02-09,2026-02-09,1,Not Applicable,,True,False,Delivered On-Time
111014966947,87DD9B59EA,AWB2930946728,Carrier A,Regional,Nagpur <- Mumbai,351.0,Nagpur,COD,960,Delivered,2026-01-10,2026-01-11,2026-01-15,2026-01-13,1,Not Applicable,,True,False,Delivered On-Time
111014961410,0B3EC5CA18,AWB0208882616,Carrier D,Metro,Bangalore <- Mumbai,906.6,Bangalore,COD,750,RTO,2026-01-04,2026-01-05,2026-01-10,,3,COD payment declined,Payment Issue,False,True,RTO
110914955641,0463BDB118,AWB6560532972,Carrier C,Regional,Jalgaon <- Mumbai,336.1,Jalgaon,Prepaid,742,Delivered,2026-02-07,2026-02-08,2026-02-10,2026-02-08,2,Delivery postponed by customer,Customer Availability,True,False,Delivered On-Time
110414888129,FF021F1E0D,AWB5528583535,Carrier C,Metro,Bangalore <- Mumbai,894.6,Bangalore,COD,777,Out of delivery,2026-02-21,2026-02-22,2026-02-24,,1,Delivery postponed by customer,Customer Availability,False,False,Open
110614912996,A5AAF9F107,AWB0826866300,Carrier D,National,Jodhpur <- Mumbai,733.8,Jodhpur,COD,499,Delivered,2026-01-19,2026-01-20,2026-01-21,2026-01-20,2,Customer not available,Customer Availability,True,False,Delivered On-Time
110714936405,81B35C16C3,AWB7322984829,Carrier C,National,Chandigarh <- Mumbai,1257.2,Chandigarh,COD,1608,Delivered,2026-01-08,2026-01-10,2026-01-13,2026-01-11,2,Customer requested re-attempt,Customer Availability,True,False,Delivered On-Time
111014964957,A62C5278DF,AWB7289818764,Carrier B,Metro,Pune <- Mumbai,171.0,Pune,COD,1045,Delivered,2026-01-30,2026-01-31,2026-02-03,2026-02-03,1,Not Applicable,,True,False,Delivered On-Time
111114975728,4E8152D2A0,AWB0271450359,Carrier A,Metro,New Delhi <- Mumbai,1525.6,New Delhi,Prepaid,569,Delivered,2026-02-10,2026-02-12,2026-02-15,2026-02-14,1,Not Applicable,,True,False,Delivered On-Time
110914949610,59DEE28266,AWB8272255190,Carrier C,National,K.V.Rangareddy <- Mumbai,810.7,K.V.Rangareddy,COD,535,Delivered,2026-01-09,2026-01-10,2026-01-13,2026-01-11,1,Not Applicable,,True,False,Delivered On-Time
110714928981,960FDEE156,AWB1593036630,Carrier D,Regional,Sidhi <- Mumbai,397.0,Sidhi,COD,1079,Delivered,2026-02-09,2026-02-10,2026-02-16,2026-02-17,2,Delivery postponed by customer,Customer Availability,False,False,Delivered Late
111014969889,B0CF5ED7E9,AWB9973030906,Carrier A,Metro,Bangalore <- Mumbai,806.1,Bangalore,COD,779,Delivered,2026-01-05,2026-01-05,2026-01-08,2026-01-11,2,Landmark missing,Address Issue,False,False,Delivered Late
110814948920,E44FCBEDA5,AWB3349488948,Carrier B,Local,Mumbai <- Mumbai,13.6,Mumbai,COD,844,Delivered,2026-01-29,2026-01-31,2026-02-04,2026-02-03,1,Not Applicable,,True,False,Delivered On-Time
110714929503,8722C33136,AWB2924723511,Carrier B,National,Udham Singh Nagar <- Mumbai,1106.2,Udham Singh Nagar,COD,1783,Delivered,2026-01-10,2026-01-12,2026-01-13,2026-01-12,1,Not Applicable,,True,False,Delivered On-Time
110914952206,3F1CCDEB2F,AWB9459023399,Carrier A,National,Deoghar <- Mumbai,1588.6,Deoghar,Prepaid,839,Delivered,2026-01-16,2026-01-17,2026-01-21,2026-01-20,1,Not Applicable,,True,False,Delivered On-Time
110714934994,BCD485AD10,AWB6590035806,Carrier C,National,Jhujhunu <- Mumbai,713.4,Jhujhunu,COD,479,RTO,2026-01-01,2026-01-03,2026-01-04,,3,Landmark missing,Address Issue,False,True,RTO
110714934482,E50C2A20F4,AWB9333624851,Carrier D,Regional,Nagpur <- Mumbai,297.6,Nagpur,Prepaid,1017,Delivered,2026-01-04,2026-01-05,2026-01-10,2026-01-12,2,Phone not reachable,Contact Issue,False,False,Delivered Late
101914716056,ED231FFEEC,AWB5036772027,Carrier D,National,Jaunpur <- Mumbai,1323.0,Jaunpur,Prepaid,749,In-Transit,2026-02-24,2026-02-25,2026-02-28,,0,Not Applicable,,False,False,Open
