action_id,source_agent,entity,issue,recommended_action,priority,expected_impact,confidence
ACT-00001,EDD Breach Alert Agent,AWB6803819888,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00002,EDD Breach Alert Agent,AWB4542489435,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00003,EDD Breach Alert Agent,AWB9614846756,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00004,EDD Breach Alert Agent,AWB7061030440,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00005,EDD Breach Alert Agent,AWB7580581563,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00006,EDD Breach Alert Agent,AWB2701343505,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00007,EDD Breach Alert Agent,AWB8470624119,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00008,EDD Breach Alert Agent,AWB2095365767,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00009,EDD Breach Alert Agent,AWB0573455820,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00010,EDD Breach Alert Agent,AWB6145051553,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00011,EDD Breach Alert Agent,AWB7141863622,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00012,EDD Breach Alert Agent,AWB3072864852,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00013,EDD Breach Alert Agent,AWB2750312338,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00014,EDD Breach Alert Agent,AWB8884540979,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00015,EDD Breach Alert Agent,AWB0642556100,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00016,EDD Breach Alert Agent,AWB8245486139,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00017,EDD Breach Alert Agent,AWB3609494420,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00018,EDD Breach Alert Agent,AWB9201484974,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00019,EDD Breach Alert Agent,AWB5881106276,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00020,EDD Breach Alert Agent,AWB4656798674,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00021,EDD Breach Alert Agent,AWB6894977557,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00022,EDD Breach Alert Agent,AWB0176014761,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00023,EDD Breach Alert Agent,AWB0778265159,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00024,EDD Breach Alert Agent,AWB9995488057,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00025,EDD Breach Alert Agent,AWB2654868565,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00026,EDD Breach Alert Agent,AWB2236338821,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00027,EDD Breach Alert Agent,AWB7740299898,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00028,EDD Breach Alert Agent,AWB3684651120,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00029,EDD Breach Alert Agent,AWB1025590603,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00030,EDD Breach Alert Agent,AWB5519686422,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00031,EDD Breach Alert Agent,AWB5620194123,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00032,EDD Breach Alert Agent,AWB6920930366,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00033,EDD Breach Alert Agent,AWB7050743860,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00034,EDD Breach Alert Agent,AWB6659092877,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00035,EDD Breach Alert Agent,AWB9380978674,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00036,EDD Breach Alert Agent,AWB0453000790,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00037,EDD Breach Alert Agent,AWB4010765891,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00038,EDD Breach Alert Agent,AWB9110201552,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00039,EDD Breach Alert Agent,AWB7935966647,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00040,EDD Breach Alert Agent,AWB8707769816,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00041,EDD Breach Alert Agent,AWB4715303007,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00042,EDD Breach Alert Agent,AWB8407027823,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + Customer Care Team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
