shipment_id,awb,order_id,carrier,lane_class,customer_city,current_status,edd,days_to_edd,edd_already_breached,edd_risk_score,risk_tier,attempt_number,alert_priority,care_team_update,push_notification_title,push_notification_body,recommended_action,data_confidence
A2C1837EA7,AWB6803819888,110214870821,Carrier C,National,Lucknow,In-Transit,2026-01-04,-60,True,57.9,Medium,0,P1 - Urgent,"AWB AWB6803819888 (Lucknow, National lane) has PASSED its promised EDD (2026-01-04) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110214870821 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
2F374FE0F6,AWB4542489435,110614917515,Carrier B,National,South Delhi,Order Packed,2026-01-04,-60,True,60.0,High,0,P1 - Urgent,"AWB AWB4542489435 (South Delhi, National lane) has PASSED its promised EDD (2026-01-04) and is still showing 'Order Packed'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110614917515 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
9E544CCE0E,AWB9614846756,111114977718,Carrier A,Metro,Bangalore,In-Transit,2026-01-04,-60,True,63.5,High,0,P1 - Urgent,"AWB AWB9614846756 (Bangalore, Metro lane) has PASSED its promised EDD (2026-01-04) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114977718 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
98157A5528,AWB7061030440,111014972142,Carrier C,National,Mysore,In-Transit,2026-01-05,-59,True,55.4,Medium,0,P1 - Urgent,"AWB AWB7061030440 (Mysore, National lane) has PASSED its promised EDD (2026-01-05) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111014972142 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
B6A483289C,AWB7580581563,110514906834,Carrier D,National,Erode,Out of delivery,2026-01-06,-58,True,54.7,Medium,2,P1 - Urgent,"AWB AWB7580581563 (Erode, National lane) has PASSED its promised EDD (2026-01-06) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110514906834 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
0D93AD750E,AWB6865065799,111214986508,Carrier B,Metro,Pune,In-Transit,2026-01-06,-58,True,63.0,High,0,P1 - Urgent,"AWB AWB6865065799 (Pune, Metro lane) has PASSED its promised EDD (2026-01-06) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111214986508 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
670A152043,AWB8297032169,110914956981,Carrier D,National,North Delhi,Pickup done,2026-01-06,-58,True,58.1,Medium,0,P1 - Urgent,"AWB AWB8297032169 (North Delhi, National lane) has PASSED its promised EDD (2026-01-06) and is still showing 'Pickup done'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #110914956981 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
AFBB31FB52,AWB5956236445,111114976066,Carrier C,National,Patna,In-Transit,2026-01-06,-58,True,62.4,High,0,P1 - Urgent,"AWB AWB5956236445 (Patna, National lane) has PASSED its promised EDD (2026-01-06) and is still showing 'In-Transit'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114976066 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
333E574912,AWB0937425335,111114976682,Carrier C,National,Jaipur,Out of delivery,2026-01-06,-58,True,37.0,Medium,1,P1 - Urgent,"AWB AWB0937425335 (Jaipur, National lane) has PASSED its promised EDD (2026-01-06) and is still showing 'Out of delivery'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #111114976682 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Route to NDR Recovery Agent — customer contact for reattempt,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
BB85574EC0,AWB4891200702,100114747530,Carrier C,National,Kota,Pickup done,2026-01-07,-57,True,45.2,Medium,0,P1 - Urgent,"AWB AWB4891200702 (Kota, National lane) has PASSED its promised EDD (2026-01-07) and is still showing 'Pickup done'. Proactively contact the customer with a revised delivery estimate before they contact us.",An update on your order,Order #100114747530 is taking longer than expected. We're actively tracking it and will share an updated delivery estimate shortly. Sorry for the wait.,Send proactive delivery-reminder notification; monitor next scan,AI_PREDICTED (risk score) + MOCK (message content — no real push notification or care-team ticket is actually sent; see docs/data_assumptions.md)
