order_id,customer_city,customer_pincode,package_amount,product_sku,warehouse_address,warehouse_pincode,warehouse_city,order_date,pickup_date,first_attempt_date,delivery_date,edd,ndr_reason,payment_mode,current_status,shipment_uid,customer_name_masked,customer_phone_masked,customer_address_masked,dq_flags,data_confidence_core,dest_zone,lane_class,distance_km,lane,awb,origin_hub,destination_hub,carrier,pickup_sla_days,transit_sla_days,delivery_sla_days,order_to_pickup_days,pickup_to_delivery_days,order_to_delivery_days,edd_days_promised,pickup_sla_breach,is_delivered,edd_met,edd_missed,is_rto,is_lost,is_open,outcome_label,shipment_ageing_days,has_ndr,ndr_category,ndr_low_recovery_reason,attempt_number,first_attempt_success,rto_reason,order_dow,order_week,is_weekend_order,is_cod,transit_actual_days,carrier_sla_breach,exception_category
111114979029,CHENNAI,600119.0,399,SYE-2456815,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-02,2026-01-09,2026-01-09,2026-01-06,Not Applicable,COD,Delivered,2A28A39873,J*** C***,XXXXXX4635,[REDACTED - CHENNAI],,ACTUAL,6,Metro,1166.0,Chennai <- Mumbai,AWB6576895190,Mumbai Bhiwandi FC,Chennai Delivery Station,Carrier B,1,3,4,1,7.0,8.0,5,False,True,False,True,False,False,False,Delivered Late,63,False,N/A,False,1,True,Not Applicable,Thursday,1,False,True,7.0,True,Late Delivery
110214873915,Varanasi,221010.0,686,YGS-2543899,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-03,2026-01-07,,2026-01-06,Customer refused delivery,COD,RTO,194402498E,M*** C***,XXXXXX2702,[REDACTED - Varanasi],,ACTUAL,2,National,1310.5,Varanasi <- Mumbai,AWB1651072748,Mumbai Bhiwandi FC,Varanasi Delivery Station,Carrier D,1,4,5,2,,,5,True,False,False,False,True,False,False,RTO,63,True,Customer Rejection,True,3,False,Customer refused delivery,Thursday,1,False,True,,False,RTO
111014972463,Bhopal,462023.0,1304,SN-2139922,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-03,2026-01-07,,2026-01-05,Landmark missing,Prepaid,RTO,CC6E508FE7,K*** C***,XXXXXX2499,[REDACTED - Bhopal],,ACTUAL,4,Regional,380.1,Bhopal <- Mumbai,AWB1210950660,Mumbai Bhiwandi FC,Bhopal Delivery Station,Carrier C,1,2,3,2,,,4,True,False,False,False,True,False,False,RTO,63,True,Address Issue,False,3,False,Landmark missing,Thursday,1,False,False,,False,RTO
110714930704,Nagaon,782136.0,1079,YTS-2688042,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-03,2026-01-06,,2026-01-05,Customer not available,COD,RTO,817DA542EA,A*** C***,XXXXXX7262,[REDACTED - Nagaon],,ACTUAL,7,National,1844.7,Nagaon <- Mumbai,AWB1788420264,Mumbai Bhiwandi FC,Nagaon Delivery Station,Carrier D,1,4,5,2,,,4,True,False,False,False,True,False,False,RTO,63,True,Customer Availability,False,3,False,Customer not available,Thursday,1,False,True,,False,RTO
110814941550,Warangal,506001.0,1019,SRS-2069367,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-02,2026-01-05,2026-01-05,2026-01-05,Not Applicable,Prepaid,Delivered,113C263F7F,B*** C***,XXXXXX3722,[REDACTED - Warangal],,ACTUAL,5,National,776.8,Warangal <- Mumbai,AWB6486480482,Mumbai Bhiwandi FC,Warangal Delivery Station,Carrier A,1,4,5,1,3.0,4.0,4,False,True,True,False,False,False,False,Delivered On-Time,63,False,N/A,False,1,True,Not Applicable,Thursday,1,False,False,3.0,False,None
111014969635,Pune,411057.0,752,ADX-2405647,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-03,2026-01-04,2026-01-04,2026-01-05,Not Applicable,COD,Delivered,FDC2C56E28,P*** C***,XXXXXX7379,[REDACTED - Pune],,ACTUAL,4,Metro,143.7,Pune <- Mumbai,AWB6460874981,Mumbai Bhiwandi FC,Pune Delivery Station,Carrier A,1,3,4,2,1.0,3.0,4,True,True,True,False,False,False,False,Delivered On-Time,63,False,N/A,False,1,True,Not Applicable,Thursday,1,False,True,1.0,False,None
111214992875,Mumbai,400080.0,2540,SRS-2692923,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-02,2026-01-06,,2026-01-05,COD payment declined,COD,RTO,2D526F1593,A*** C***,XXXXXX1019,[REDACTED - Mumbai],,ACTUAL,4,Local,16.0,Mumbai <- Mumbai,AWB0724034239,Mumbai Bhiwandi FC,Mumbai Delivery Station,Carrier A,1,1,2,1,,,4,False,False,False,False,True,False,False,RTO,63,True,Payment Issue,True,3,False,COD payment declined,Thursday,1,False,True,,False,RTO
110814942794,Chandigarh,160018.0,389,YBS-2221881,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-03,2026-01-06,2026-01-08,2026-01-05,Delivery postponed by customer,Prepaid,Delivered,3C7B61F08F,S*** C***,XXXXXX3551,[REDACTED - Chandigarh],,ACTUAL,1,National,1514.2,Chandigarh <- Mumbai,AWB2969246544,Mumbai Bhiwandi FC,Chandigarh Delivery Station,Carrier B,1,4,5,2,5.0,7.0,4,True,True,False,True,False,False,False,Delivered Late,63,True,Customer Availability,False,2,False,Not Applicable,Thursday,1,False,False,5.0,True,Late Delivery
111114983022,New Delhi,110089.0,839,LSM-2739098,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-02,2026-01-05,2026-01-05,2026-01-07,Not Applicable,COD,Delivered,E2E43D5E54,D*** C***,XXXXXX6616,[REDACTED - New Delhi],,ACTUAL,1,Metro,1328.6,New Delhi <- Mumbai,AWB2400214800,Mumbai Bhiwandi FC,New Delhi Delivery Station,Carrier D,1,3,4,1,3.0,4.0,6,False,True,True,False,False,False,False,Delivered On-Time,63,False,N/A,False,1,True,Not Applicable,Thursday,1,False,True,3.0,False,None
111014972296,Pune,411028.0,752,THD-1642628,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-02,2026-01-02,2026-01-02,2026-01-03,Customer requested re-attempt,Prepaid,Delivered,F41476D4D4,P*** C***,XXXXXX8321,[REDACTED - Pune],,ACTUAL,4,Metro,138.9,Pune <- Mumbai,AWB1452355051,Mumbai Bhiwandi FC,Pune Delivery Station,Carrier C,1,3,4,1,0.0,1.0,2,False,True,True,False,False,False,False,Delivered On-Time,63,True,Customer Availability,False,2,False,Not Applicable,Thursday,1,False,False,0.0,False,None
110414892085,Karnal,132001.0,819,XHZ-2690348,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-03,2026-01-07,2026-01-07,2026-01-07,Not Applicable,COD,Delivered,2310EF8E27,N*** C***,XXXXXX3478,[REDACTED - Karnal],,ACTUAL,1,National,1207.6,Karnal <- Mumbai,AWB3888285784,Mumbai Bhiwandi FC,Karnal Delivery Station,Carrier D,1,4,5,2,4.0,6.0,6,True,True,True,False,False,False,False,Delivered On-Time,63,False,N/A,False,1,True,Not Applicable,Thursday,1,False,True,4.0,False,None
110514910930,Kendujhar,758035.0,1589,SRS-2363489,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-01,2026-01-02,2026-01-02,2026-01-03,Not Applicable,COD,Delivered,4277BCF6E1,A*** C***,XXXXXX1247,[REDACTED - Kendujhar],,ACTUAL,7,National,2046.5,Kendujhar <- Mumbai,AWB8071858156,Mumbai Bhiwandi FC,Kendujhar Delivery Station,Carrier C,1,4,5,0,1.0,1.0,2,False,True,True,False,False,False,False,Delivered On-Time,63,False,N/A,False,1,True,Not Applicable,Thursday,1,False,True,1.0,False,None
111114972942,Ghaziabad,201010.0,1058,ADX-2041455,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-02,2026-01-07,,2026-01-05,Customer not available,COD,RTO,732A2E486C,K*** C***,XXXXXX6061,[REDACTED - Ghaziabad],,ACTUAL,2,National,1404.1,Ghaziabad <- Mumbai,AWB4388721193,Mumbai Bhiwandi FC,Ghaziabad Delivery Station,Carrier D,1,4,5,1,,,4,False,False,False,False,True,False,False,RTO,63,True,Customer Availability,False,3,False,Customer not available,Thursday,1,False,True,,False,RTO
110514909909,Jalandhar,144007.0,1247,BUC-2765550,"ABC, Bhiwandi, Mumbai, Maharashtra",400016,Mumbai,2026-01-01,2026-01-02,2026-01-02,2026-01-03,2026-01-04,Customer not available,COD,Delivered,E4DDEFEC3D,J*** C***,XXXXXX2333,[REDACTED - Jalandhar],,ACTUAL,1,National,1497.9,Jalandhar <- Mumbai,AWB1115210342,Mumbai Bhiwandi FC,Jalandhar Delivery Station,Carrier D,1,4,5,1,1.0,2.0,3,False,True,True,False,False,False,False,Delivered On-Time,63,True,Customer Availability,False,2,False,Not Applicable,Thursday,1,False,True,1.0,False,None
