shipment_id,order_id,ndr_reason,recommended_channel,also_whatsapp,info_requested,push_notification_title,push_notification_body,email_subject,email_body,whatsapp_message,data_confidence
960CF0B0B3,110714927605,Address issue,Manual Agent Call,True,Confirm the complete delivery address,We couldn't deliver your order,Order #110714927605: our delivery partner couldn't complete your delivery (address issue). Confirm the complete delivery address — tap here to help us get it to you faster.,Action needed: help us deliver order #110714927605,"Hi,

We attempted to deliver your order #110714927605 but were unable to (Address issue). Confirm the complete delivery address, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #110714927605 couldn't be delivered (address issue). Confirm the complete delivery address — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
899D2419BB,110414891252,Address issue,IVR,True,Confirm the complete delivery address,We couldn't deliver your order,Order #110414891252: our delivery partner couldn't complete your delivery (address issue). Confirm the complete delivery address — tap here to help us get it to you faster.,Action needed: help us deliver order #110414891252,"Hi,

We attempted to deliver your order #110414891252 but were unable to (Address issue). Confirm the complete delivery address, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #110414891252 couldn't be delivered (address issue). Confirm the complete delivery address — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
B5C5BAC24F,103114850082,Address issue,Manual Agent Call,True,Confirm the complete delivery address,We couldn't deliver your order,Order #103114850082: our delivery partner couldn't complete your delivery (address issue). Confirm the complete delivery address — tap here to help us get it to you faster.,Action needed: help us deliver order #103114850082,"Hi,

We attempted to deliver your order #103114850082 but were unable to (Address issue). Confirm the complete delivery address, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #103114850082 couldn't be delivered (address issue). Confirm the complete delivery address — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
A8C92E9C79,110114860709,Address issue,IVR,True,Confirm the complete delivery address,We couldn't deliver your order,Order #110114860709: our delivery partner couldn't complete your delivery (address issue). Confirm the complete delivery address — tap here to help us get it to you faster.,Action needed: help us deliver order #110114860709,"Hi,

We attempted to deliver your order #110114860709 but were unable to (Address issue). Confirm the complete delivery address, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #110114860709 couldn't be delivered (address issue). Confirm the complete delivery address — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
E2E74C6DBC,101814707028,Address issue,IVR,True,Confirm the complete delivery address,We couldn't deliver your order,Order #101814707028: our delivery partner couldn't complete your delivery (address issue). Confirm the complete delivery address — tap here to help us get it to you faster.,Action needed: help us deliver order #101814707028,"Hi,

We attempted to deliver your order #101814707028 but were unable to (Address issue). Confirm the complete delivery address, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #101814707028 couldn't be delivered (address issue). Confirm the complete delivery address — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
1F0CA4AE6E,101914712361,Address issue,IVR,True,Confirm the complete delivery address,We couldn't deliver your order,Order #101914712361: our delivery partner couldn't complete your delivery (address issue). Confirm the complete delivery address — tap here to help us get it to you faster.,Action needed: help us deliver order #101914712361,"Hi,

We attempted to deliver your order #101914712361 but were unable to (Address issue). Confirm the complete delivery address, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #101914712361 couldn't be delivered (address issue). Confirm the complete delivery address — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
3770A117AC,101214623490,Address issue,IVR,True,Confirm the complete delivery address,We couldn't deliver your order,Order #101214623490: our delivery partner couldn't complete your delivery (address issue). Confirm the complete delivery address — tap here to help us get it to you faster.,Action needed: help us deliver order #101214623490,"Hi,

We attempted to deliver your order #101214623490 but were unable to (Address issue). Confirm the complete delivery address, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #101214623490 couldn't be delivered (address issue). Confirm the complete delivery address — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
98157A5528,111014972142,Landmark missing,Manual Agent Call,True,Ask for a nearby landmark,We couldn't deliver your order,Order #111014972142: our delivery partner couldn't complete your delivery (landmark missing). Ask for a nearby landmark — tap here to help us get it to you faster.,Action needed: help us deliver order #111014972142,"Hi,

We attempted to deliver your order #111014972142 but were unable to (Landmark missing). Ask for a nearby landmark, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #111014972142 couldn't be delivered (landmark missing). Ask for a nearby landmark — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
859434B4AD,111114975402,Landmark missing,IVR,True,Ask for a nearby landmark,We couldn't deliver your order,Order #111114975402: our delivery partner couldn't complete your delivery (landmark missing). Ask for a nearby landmark — tap here to help us get it to you faster.,Action needed: help us deliver order #111114975402,"Hi,

We attempted to deliver your order #111114975402 but were unable to (Landmark missing). Ask for a nearby landmark, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #111114975402 couldn't be delivered (landmark missing). Ask for a nearby landmark — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
E7054815AB,110814948833,Landmark missing,IVR,True,Ask for a nearby landmark,We couldn't deliver your order,Order #110814948833: our delivery partner couldn't complete your delivery (landmark missing). Ask for a nearby landmark — tap here to help us get it to you faster.,Action needed: help us deliver order #110814948833,"Hi,

We attempted to deliver your order #110814948833 but were unable to (Landmark missing). Ask for a nearby landmark, and we'll schedule the next attempt right away.

Reply to this email or use the app to update your details.

Thanks,
Customer Care — AI Logistics Control Tower",Hi! Your order #110814948833 couldn't be delivered (landmark missing). Ask for a nearby landmark — reply here or tap the link to sort it out in under a minute.,"MOCK (message content — no real push notification, email, WhatsApp message, or call is actually sent; recommended_channel/also_whatsapp is the routing decision, not proof of contact)"
