customer_city,lane_class,shipment_volume,edd_adherence_pct,edd_gap_to_target_pp,flag_reasons,primary_carrier,primary_carrier_share_pct,primary_carrier_edd_on_lane_pct,notice_deadline,mock_carrier_notice,data_confidence
South Delhi,National,21,73.3,21.7,CHRONIC_UNDERPERFORMANCE,Carrier D,38.1,50.0,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier D (lane: South Delhi / National). Current EDD adherence on this lane is 73.3% against a 95% target (21.7pp gap), driven by chronic underperformance, n=21 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
North Delhi,National,20,77.8,17.2,CHRONIC_UNDERPERFORMANCE,Carrier D,40.0,62.5,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier D (lane: North Delhi / National). Current EDD adherence on this lane is 77.8% against a 95% target (17.2pp gap), driven by chronic underperformance, n=20 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
Bangalore,Metro,184,78.1,16.9,TRANSIT_CEILING_BREACH,Carrier A,35.3,82.6,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier A (lane: Bangalore / Metro). Current EDD adherence on this lane is 78.1% against a 95% target (16.9pp gap), driven by transit ceiling breach, n=184 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
Hyderabad,Metro,71,78.6,16.4,TRANSIT_CEILING_BREACH,Carrier A,31.0,94.4,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier A (lane: Hyderabad / Metro). Current EDD adherence on this lane is 78.6% against a 95% target (16.4pp gap), driven by transit ceiling breach, n=71 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
Ahmedabad,Metro,28,78.9,16.1,CHRONIC_UNDERPERFORMANCE,Carrier B,32.1,71.4,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier B (lane: Ahmedabad / Metro). Current EDD adherence on this lane is 78.9% against a 95% target (16.1pp gap), driven by chronic underperformance, n=28 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
Gurgaon,Metro,81,79.4,15.6,TRANSIT_CEILING_BREACH,Carrier A,33.3,73.7,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier A (lane: Gurgaon / Metro). Current EDD adherence on this lane is 79.4% against a 95% target (15.6pp gap), driven by transit ceiling breach, n=81 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
West Delhi,National,31,81.0,14.0,CHRONIC_UNDERPERFORMANCE,Carrier D,38.7,83.3,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier D (lane: West Delhi / National). Current EDD adherence on this lane is 81.0% against a 95% target (14.0pp gap), driven by chronic underperformance, n=31 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
Surat,National,20,81.2,13.8,CHRONIC_UNDERPERFORMANCE,Carrier D,35.0,83.3,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier D (lane: Surat / National). Current EDD adherence on this lane is 81.2% against a 95% target (13.8pp gap), driven by chronic underperformance, n=20 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
Ghaziabad,National,45,81.8,13.2,"CHRONIC_UNDERPERFORMANCE, TRANSIT_CEILING_BREACH",Carrier D,35.6,80.0,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier D (lane: Ghaziabad / National). Current EDD adherence on this lane is 81.8% against a 95% target (13.2pp gap), driven by chronic underperformance and transit ceiling breach, n=45 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
K.V.Rangareddy,National,38,83.9,11.1,"CHRONIC_UNDERPERFORMANCE, TRANSIT_CEILING_BREACH",Carrier C,28.9,80.0,2026-03-19,"NOTICE TO CARRIER PARTNER — Carrier C (lane: K.V.Rangareddy / National). Current EDD adherence on this lane is 83.9% against a 95% target (11.1pp gap), driven by chronic underperformance and transit ceiling breach, n=38 shipments. We need a documented improvement plan and measurable EDD-adherence recovery on this lane within 14 days (by 2026-03-19), or volume on this lane will be shifted to an alternate carrier partner. [MOCK — outbound carrier communication, not sent]",carrier_label=SYNTHETIC; EDD/volume outcomes=ACTUAL; notice=MOCK (never sent)
