carrier,awb,order_id,delivery_date,cod_amount,remittance_due_date,status,priority,email_subject,email_body,cod_amount_source
Carrier C,AWB8071858156,110514910930,2026-01-02,1589,2026-01-04,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB8071858156 — COD ₹1,589 — Carrier C","Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹1,589 is due by 2026-01-04 00:00:00.

AWB: AWB8071858156
Order ID: 110514910930
Delivery Date: 2026-01-02
Destination: Kendujhar
COD Amount: ₹1,589

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB9107113826,110614917619,2026-01-02,559,2026-01-04,Overdue,P1 - Urgent,[Remittance Due] AWB AWB9107113826 — COD ₹559 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹559 is due by 2026-01-04 00:00:00.

AWB: AWB9107113826
Order ID: 110614917619
Delivery Date: 2026-01-02
Destination: Bangalore
COD Amount: ₹559

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB6093135089,103114848462,2026-01-02,930,2026-01-04,Overdue,P1 - Urgent,[Remittance Due] AWB AWB6093135089 — COD ₹930 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹930 is due by 2026-01-04 00:00:00.

AWB: AWB6093135089
Order ID: 103114848462
Delivery Date: 2026-01-02
Destination: Thane
COD Amount: ₹930

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB0501070606,110914953242,2026-01-02,1123,2026-01-04,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB0501070606 — COD ₹1,123 — Carrier D","Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹1,123 is due by 2026-01-04 00:00:00.

AWB: AWB0501070606
Order ID: 110914953242
Delivery Date: 2026-01-02
Destination: Bangalore
COD Amount: ₹1,123

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB6540987290,110714929039,2026-01-02,749,2026-01-04,Overdue,P1 - Urgent,[Remittance Due] AWB AWB6540987290 — COD ₹749 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹749 is due by 2026-01-04 00:00:00.

AWB: AWB6540987290
Order ID: 110714929039
Delivery Date: 2026-01-02
Destination: Jabalpur
COD Amount: ₹749

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB5069218107,110614921639,2026-01-02,599,2026-01-04,Overdue,P1 - Urgent,[Remittance Due] AWB AWB5069218107 — COD ₹599 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹599 is due by 2026-01-04 00:00:00.

AWB: AWB5069218107
Order ID: 110614921639
Delivery Date: 2026-01-02
Destination: BANGALORE
COD Amount: ₹599

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB9875818163,111014970329,2026-01-02,499,2026-01-04,Overdue,P1 - Urgent,[Remittance Due] AWB AWB9875818163 — COD ₹499 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹499 is due by 2026-01-04 00:00:00.

AWB: AWB9875818163
Order ID: 111014970329
Delivery Date: 2026-01-02
Destination: North West Delhi
COD Amount: ₹499

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB5677044880,111114977978,2026-01-02,998,2026-01-04,Overdue,P1 - Urgent,[Remittance Due] AWB AWB5677044880 — COD ₹998 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-02. Per the 2-day remittance SLA, payment of ₹998 is due by 2026-01-04 00:00:00.

AWB: AWB5677044880
Order ID: 111114977978
Delivery Date: 2026-01-02
Destination: South West Delhi
COD Amount: ₹998

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB1115210342,110514909909,2026-01-03,1247,2026-01-05,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB1115210342 — COD ₹1,247 — Carrier D","Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹1,247 is due by 2026-01-05 00:00:00.

AWB: AWB1115210342
Order ID: 110514909909
Delivery Date: 2026-01-03
Destination: Jalandhar
COD Amount: ₹1,247

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB9656494423,111114974751,2026-01-03,685,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB9656494423 — COD ₹685 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹685 is due by 2026-01-05 00:00:00.

AWB: AWB9656494423
Order ID: 111114974751
Delivery Date: 2026-01-03
Destination: Thane
COD Amount: ₹685

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB0015798517,111114974767,2026-01-03,299,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB0015798517 — COD ₹299 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹299 is due by 2026-01-05 00:00:00.

AWB: AWB0015798517
Order ID: 111114974767
Delivery Date: 2026-01-03
Destination: Gurgaon
COD Amount: ₹299

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB5144071596,110214874260,2026-01-03,589,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB5144071596 — COD ₹589 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹589 is due by 2026-01-05 00:00:00.

AWB: AWB5144071596
Order ID: 110214874260
Delivery Date: 2026-01-03
Destination: Tinsukia
COD Amount: ₹589

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB0581508925,111014965801,2026-01-03,928,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB0581508925 — COD ₹928 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹928 is due by 2026-01-05 00:00:00.

AWB: AWB0581508925
Order ID: 111014965801
Delivery Date: 2026-01-03
Destination: South West Delhi
COD Amount: ₹928

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier B,AWB9108110268,110914956584,2026-01-03,525,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB9108110268 — COD ₹525 — Carrier B,"Dear Carrier B Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹525 is due by 2026-01-05 00:00:00.

AWB: AWB9108110268
Order ID: 110914956584
Delivery Date: 2026-01-03
Destination: Haridwar
COD Amount: ₹525

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB3426993585,111214990305,2026-01-03,499,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB3426993585 — COD ₹499 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹499 is due by 2026-01-05 00:00:00.

AWB: AWB3426993585
Order ID: 111214990305
Delivery Date: 2026-01-03
Destination: Mumbai
COD Amount: ₹499

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier D,AWB1380818382,110814939905,2026-01-03,634,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB1380818382 — COD ₹634 — Carrier D,"Dear Carrier D Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹634 is due by 2026-01-05 00:00:00.

AWB: AWB1380818382
Order ID: 110814939905
Delivery Date: 2026-01-03
Destination: Jaipur
COD Amount: ₹634

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB9081721167,100114457679,2026-01-03,599,2026-01-05,Overdue,P1 - Urgent,[Remittance Due] AWB AWB9081721167 — COD ₹599 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-03. Per the 2-day remittance SLA, payment of ₹599 is due by 2026-01-05 00:00:00.

AWB: AWB9081721167
Order ID: 100114457679
Delivery Date: 2026-01-03
Destination: Jaipur
COD Amount: ₹599

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB6460874981,111014969635,2026-01-04,752,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB6460874981 — COD ₹752 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹752 is due by 2026-01-06 00:00:00.

AWB: AWB6460874981
Order ID: 111014969635
Delivery Date: 2026-01-04
Destination: Pune
COD Amount: ₹752

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB5553624175,111114978187,2026-01-04,499,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB5553624175 — COD ₹499 — Carrier A,"Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹499 is due by 2026-01-06 00:00:00.

AWB: AWB5553624175
Order ID: 111114978187
Delivery Date: 2026-01-04
Destination: Bangalore
COD Amount: ₹499

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier A,AWB5258594048,101814699937,2026-01-04,1699,2026-01-06,Overdue,P1 - Urgent,"[Remittance Due] AWB AWB5258594048 — COD ₹1,699 — Carrier A","Dear Carrier A Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹1,699 is due by 2026-01-06 00:00:00.

AWB: AWB5258594048
Order ID: 101814699937
Delivery Date: 2026-01-04
Destination: Bangalore
COD Amount: ₹1,699

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
Carrier C,AWB1830861728,110714936330,2026-01-04,869,2026-01-06,Overdue,P1 - Urgent,[Remittance Due] AWB AWB1830861728 — COD ₹869 — Carrier C,"Dear Carrier C Finance Team,

The following COD shipment was delivered on 2026-01-04. Per the 2-day remittance SLA, payment of ₹869 is due by 2026-01-06 00:00:00.

AWB: AWB1830861728
Order ID: 110714936330
Delivery Date: 2026-01-04
Destination: Indore
COD Amount: ₹869

Please confirm remittance status.

Regards,
Finance Ops — AI Logistics Control Tower",DERIVED (package_amount used as COD-amount proxy — see docs/data_assumptions.md)
