shipment_id,awb,order_id,carrier,lane_class,customer_city,ndr_reason,ndr_category,attempt_number,priority,recommended_channel,also_whatsapp,info_needed,call_script,contact_lookup_key,contact_note
899D2419BB,AWB0515568904,110414891252,Carrier B,National,Tumkur,Address issue,Address Issue,1,P2 - High,IVR,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 110414891252. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",899D2419BB,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
A8C92E9C79,AWB6335221883,110114860709,Carrier D,National,Rupnagar,Address issue,Address Issue,1,P2 - High,IVR,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 110114860709. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",A8C92E9C79,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
E2E74C6DBC,AWB6862340575,101814707028,Carrier D,National,Sambalpur,Address issue,Address Issue,1,P2 - High,IVR,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 101814707028. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",E2E74C6DBC,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
1F0CA4AE6E,AWB8773575756,101914712361,Carrier B,Regional,Gadchiroli,Address issue,Address Issue,1,P2 - High,IVR,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 101914712361. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",1F0CA4AE6E,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
3770A117AC,AWB4958670026,101214623490,Carrier C,National,Srikakulam,Address issue,Address Issue,1,P2 - High,IVR,True,Confirm the complete delivery address,"Hello, this is [Carrier] calling about your order 101214623490. We attempted delivery but couldn't complete it (address issue). Confirm the complete delivery address so we can schedule the next attempt.",3770A117AC,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
859434B4AD,AWB1618803466,111114975402,Carrier D,Metro,Ahmedabad,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 111114975402. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",859434B4AD,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
E7054815AB,AWB2393568624,110814948833,Carrier A,National,Gaya,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110814948833. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",E7054815AB,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
0A3A703939,AWB7141863622,110714933585,Carrier A,National,Jammu,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110714933585. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",0A3A703939,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
B9B550470E,AWB9023672846,111014961667,Carrier A,Metro,Gurgaon,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 111014961667. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",B9B550470E,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
F5DA4553B8,AWB6935981870,110814948461,Carrier D,National,K.V.Rangareddy,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110814948461. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",F5DA4553B8,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
D67422753A,AWB8228448001,110914953098,Carrier B,Local,Thane,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110914953098. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",D67422753A,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
16E59F6581,AWB2400836038,110614920945,Carrier C,National,Ernakulam,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110614920945. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",16E59F6581,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
5EC76A379D,AWB6789258310,110314880577,Carrier D,National,East Sikkim,Landmark missing,Address Issue,1,P2 - High,IVR,True,Ask for a nearby landmark,"Hello, this is [Carrier] calling about your order 110314880577. We attempted delivery but couldn't complete it (landmark missing). Ask for a nearby landmark so we can schedule the next attempt.",5EC76A379D,Contact via secure CRM lookup on shipment_uid — customer name/phone/address are masked at the cleaning stage and never stored in this analytics output (see docs/data_dictionary.md §2).
