shipment_id,awb,order_id,carrier,lane_class,ndr_reason,ndr_category,attempt_number,customer_action_required,recommended_action,reattempt_success_probability,priority,deadline,ai_confidence,status,recommended_channel,also_whatsapp,channel_rationale
960CF0B0B3,AWB5823018524,110714927605,Carrier B,National,Address issue,Address Issue,0,Yes,Request updated address / landmark from customer,0.478,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=134)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 1248h (>= 36h).
899D2419BB,AWB0515568904,110414891252,Carrier B,National,Address issue,Address Issue,1,Yes,Request updated address / landmark from customer,0.478,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=134)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
B5C5BAC24F,AWB1705795524,103114850082,Carrier B,Metro,Address issue,Address Issue,0,Yes,Request updated address / landmark from customer,0.478,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=134)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 336h (>= 36h).
A8C92E9C79,AWB6335221883,110114860709,Carrier D,National,Address issue,Address Issue,1,Yes,Request updated address / landmark from customer,0.478,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=134)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
E2E74C6DBC,AWB6862340575,101814707028,Carrier D,National,Address issue,Address Issue,1,Yes,Request updated address / landmark from customer,0.478,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=134)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
1F0CA4AE6E,AWB8773575756,101914712361,Carrier B,Regional,Address issue,Address Issue,1,Yes,Request updated address / landmark from customer,0.478,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=134)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
3770A117AC,AWB4958670026,101214623490,Carrier C,National,Address issue,Address Issue,1,Yes,Request updated address / landmark from customer,0.478,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=134)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
98157A5528,AWB7061030440,111014972142,Carrier C,National,Landmark missing,Address Issue,0,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 1416h (>= 36h).
859434B4AD,AWB1618803466,111114975402,Carrier D,Metro,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
E7054815AB,AWB2393568624,110814948833,Carrier A,National,Landmark missing,Address Issue,1,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,IVR,True,"First-touch, low-complexity reason — routed to automated IVR (near-zero cost). Parallel WhatsApp sent — customer action required (confirm slot/address/location/COD readiness)."
52F7F5E8CC,AWB0552317185,110914953721,Carrier D,National,Landmark missing,Address Issue,0,Yes,Send landmark-capture link; call customer for directions,0.484,P2 - High,2026-03-06 00:00,"AI_PREDICTED (reason-level fallback, n=128)",Open,Manual Agent Call,True,Escalated to manual agent call — aged 1176h (>= 36h).
